#EN-UCDlist-v1.5-2023-01-25
# This file contains lists suggested replacements for UCD1+ which are deprecated
# deprecated_term  replacement_term
em.IR.K.Brgamma em.line.Brgamma
em.opt.B.Hbeta em.line.Hbeta
em.opt.R.Halpha em.line.Halpha
em.opt.V.OIII em.line.OIII
phot.color.B-R phot.color;em.opt.B;em.opt.R
phot.color.B-R.JHN phot.color;em.opt.B;em.opt.R
phot.color.B-V phot.color;em.opt.B;em.opt.V
phot.color.B-V.JHN phot.color;em.opt.B;em.opt.V
phot.color.B1-B.gen phot.color
phot.color.B2-B.gen phot.color
phot.color.G-B.gen phot.color
phot.color.H-K phot.color;em.IR.H;em.IR.K
phot.color.J-H phot.color;em.IR.J;em.IR.H
phot.color.J-K phot.color;em.IR.J;em.IR.K
phot.color.K-L phot.color;em.IR.K;em.IR.3-4um
phot.color.R-I.JHN phot.color;em.opt.R;em.opt.I
phot.color.U-B phot.color;em.opt.U;em.opt.B
phot.color.U-B.JHN phot.color;em.opt.U;em.opt.B
phot.color.U-B.gen phot.color;em.opt.U;em.opt.B
phot.color.U-V.JHN phot.color;em.opt.U;em.opt.V
phot.color.V-B.gen phot.color;em.opt.V;em.opt.B
phot.color.V-I.cous phot.color;em.opt.V;em.opt.I
phot.color.V-R.JHN phot.color;em.opt.V;em.opt.R
phot.color.V-R.cous phot.color;em.opt.V;em.opt.R
phot.color.V1-B.gen phot.color;em.opt.V;em.opt.B
phot.color.b-y.STR phot.color
phot.color.c1.STR phot.color
phot.color.g-r.gunn phot.color
phot.color.m1.STR phot.color
phot.color.opt-ir phot.color;em.opt;em.IR
phot.color.opt-uv phot.color;em.opt;em.UV
phys.at.coll phys.atmol.collisional
phys.at.coll.rate arith.rate;phys.atmol.collisional
phys.at.coll.strength phys.atmol.collStrength
phys.at.crossSect phys.atmol.crossSection
phys.at.element phys.atmol.element
phys.at.energy phys.energy
phys.at.energy.ioniz phys.energy;phys.atmol.ionization
phys.at.energy.level phys.energy;phys.atmol.level
phys.at.fs phys.atmol.configuration
phys.at.ion phys.atmol.ionStage
phys.at.level.lifetime time.lifetime;phys.atmol.level
phys.at.level.parity phys.atmol.parity
phys.at.level.sweight phys.atmol.sweight
phys.at.line spect.line
phys.at.line.emissivity phys.emissivity;spect.line
phys.at.line.strength spect.line.intensity
phys.at.osc-strength phys.atmol.oscStrength
phys.at.recombin arith.rate;phys.atmol.transition
phys.at.stark spect.line.broad.Stark
phys.at.trans phys.atmol.transition
phys.at.trans.energy phys.energy;phys.atmol.transition
phys.at.trans.prob phys.atmol.transProb
phys.at.trans.rate arith.rate;phys.atmol.transition
phys.at.trans.wl em.wl;phys.atmol.transition
phys.mol.energy phys.energy
phys.mol.energy.rotat phys.energy;phys.mol.rotation
phys.mol.formation.heat phys.mol.formationHeat
phys.mol.level phys.atmol.level
phys.mol.line.strength phys.atmol.oscStrength
phys.mol.trans phys.atmol.transition
spect.index.Halpha spect.index;em.line.Halpha
spect.index.Hbeta spect.index;em.line.Hbeta
spect.index.Hgamma spect.index;em.line.Hgamma
# since 20040823
em.line.21cm em.line.HI
instr.ang-res pos.angResolution
instr.antenna-temp phot.antennaTemp
instr.area phys.area;instr
instr.beam-width phys.angSize;instr.beam
instr.sky-level instr.skyLevel
instr.sky-temp instr.skyTemp
meta.table.axis phys.size;meta.table
phot.color.Cous phot.color
phot.color.Gen phot.color
phot.color.Gunn phot.color
phot.color.JHN phot.color
phot.color.STR phot.color
phot.color.STR.b-y phot.color
phot.color.STR.c1 phot.color
phot.color.STR.m1 phot.color
phys.absorption.gf phys.gauntFactor
phys.at.einstein phys.atmol.transProb
phys.at.level phys.atmol.level
phys.dispMeas phys.dispMeasure
phys.distance pos.distance
phys.distance.compon pos.distance;pos.cartesian
phys.distance.gc pos.distance;pos.galactocentric
phys.electron.energy phys.energy;phys.electron
phys.mass.fraction phys.mass;arith.ratio
phys.polarization.rotMeas phys.polarization.rotMeasure
phys.size.area phys.area
pos.ang pos
pos.ang.separation pos.angDistance
pos.ee pos.errorEllipse
pos.eq.dec.arcsec  pos.eq.dec
pos.eq.ra.minutes pos.eq.ra
pos.eq.ra.seconds pos.eq.ra
pos.gal.compon pos.cartesian;pos.galactic
pos.sg.compon pos.cartesian;pos.supergalactic
src.class.star-galaxy src.class.starGalaxy
src.orbital.energy phys.energy;src.orbital
src.orbital.separation pos.angDistance;src.orbital
src.orbital.size phys.size;src.orbital
src.separation pos.angDistance;src
src.veloc.compon phys.veloc;pos.cartesian
phys.extension phys.angSize
phys.polarization.posAng pos.posAng;phys.polarization
pos.det pos.cartesian;instr.det
pos.pm.dec pos.pm;pos.eq.dec
pos.pm.ra pos.pm;pos.eq.ra
pos.precess.dec pos.precess;pos.eq.dec
pos.precess.ra pos.precess;pos.eq.ra
pos.proj pos.cartesian
src.veloc.gc phys.veloc;pos.galactocentric
src.veloc.geoc phys.veloc;pos.geocentric
src.veloc.hc phys.veloc;pos.heliocentric
phys.at.lineBroad spect.line.broad
pos.ec pos.ecliptic
pos.ec.lat pos.ecliptic.lat
pos.ec.lon pos.ecliptic.lon
pos.gal pos.galactic
pos.gal.lat pos.galactic.lat
pos.gal.lon pos.galactic.lon
pos.sg pos.supergalactic
pos.sg.lat pos.supergalactic.lat
pos.sg.lon pos.supergalactic.lon
spect.line.veloc spect.dopplerVeloc
#changes from v0.2 to 1.0
instr.angRes pos.angResolution
instr.obsty.site pos.earth.altitude;instr.obsty
instr.obsty.site.seeing instr.obsty.seeing
instr.spect instr
instr.spect.dispersion instr.dispersion
instr.spect.order instr.order
instr.spect.resolution spect.resolution
instr.tel.focus instr.tel.focalLength
meta.fits.software meta.software
obs.air obs.atmos
obs.air.extinction obs.atmos.extinction
obs.air.mass obs.airMass
phot.sb phot.mag.sb
phys.at.branchingRatio 	phys.atmol.branchingRatio
phys.at.crossSection phys.atmol.crossSection
phys.at.lineShift phys.atmol.lineShift
phys.at.moment phys.atmol.radiationType
phys.at.moment.electric phys.atmol.radiationType
phys.at.moment.magnetic phys.atmol.radiationType
phys.at.qn.S phys.atmol.qn
phys.at.qn.L phys.atmol.qn
phys.at.qn.J phys.atmol.qn
phys.at.qn.F phys.atmol.qn
phys.atmol.state.final phys.atmol.final
phys.atmol.state.initial phys.atmol.initial
phys.mol.quadrupole.magnetic phys.atmol.radiationType
phys.refraction phys.refractIndex
pos.az.ha pos.eq.ha
pos.earth.nutation pos.nutation
spect.veloc spect.dopplerVeloc
